customerid,customer_name,country,state,gender,dob,age,age_group,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,tenure_days,tenure_years,tenure_group,annual_charges,cancellation_year,cancellation_month,churn_risk_group,complaint_count,escalation_count,avg_csat_score,last_complaint_date
0017-DINOC,shiva,India,Maharashtra,Male,1997-01-22,29,26-35,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,1755.0,4.8,3-5 years,275.88,,,Low Risk,,,,
0017-IUDMW,rangadevi,India,Karnataka,Female,1981-06-18,45,36-45,2023-03-17,Referral,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,411.0,1.13,1-3 years,95.88,2024.0,5.0,High Risk,1.0,1.0,25.0,2024-04-10
0018-NYROU,chitra,India,Telangana,Female,2004-12-01,22,18-25,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,2173.0,5.95,5-7 years,167.88,,,Low Risk,,,,
0019-EFAEP,raju,India,Meghalaya,Female,1992-04-25,34,26-35,2022-08-25,Referral,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,798.0,2.18,1-3 years,155.88,2024.0,10.0,High Risk,1.0,1.0,30.0,2024-09-27
0019-GFNTW,Madhav,India,Uttar Pradesh,Male,1979-11-11,47,46-55,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,2506.0,6.86,5-7 years,1115.8799999999999,,,Low Risk,,,,
0020-INWCK,parvati,India,Delhi,Female,1986-02-28,40,36-45,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,1234.0,3.38,3-5 years,167.88,,,Medium Risk,,,,
0020-JDNXP,rikim,India,Meghalaya,Female,1994-08-19,32,26-35,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,1706.0,4.67,3-5 years,251.88,,,High Risk,,,,
0021-IKXGC,vishakha,India,Rajasthan,Female,2000-09-02,26,26-35,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,1902.0,5.21,5-7 years,167.88,,,Low Risk,,,,
0022-TCJCI,raghvendra,India,Telangana,Male,1983-12-30,43,36-45,2023-09-14,Referral,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,366.0,1.0,0-1 years,203.88,2024.0,9.0,High Risk,2.0,1.0,50.0,2024-09-14
0023-HGHWL,rishabh,India,Uttar Pradesh,Male,1991-05-14,35,26-35,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,2281.0,6.25,5-7 years,275.88,,,Low Risk,,,,
0023-UYUPN,sudevi,India,Maharashtra,Female,1977-10-06,49,46-55,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,1360.0,3.72,3-5 years,167.88,,,Medium Risk,,,,
1824-AHFTR,rangadevi,Nepal,Kathmandu,Female,1966-06-05,60,56-65,2019-01-26,Organic,2020-01-26,Basic,Annual,,,7.99,638,55,0,2795.0,7.65,7+ years,95.88,,,Medium Risk,1.0,0.0,43.0,2024-09-08
3811-NAFQO,sneha,India,Odisha,Male,1977-06-24,49,46-55,2020-12-20,Referral,2021-12-20,Basic,Annual,,,9.49,569,32,0,2101.0,5.75,5-7 years,113.88,,,Medium Risk,1.0,0.0,22.0,2024-10-06
0106-TEKHF,usha,India,Nagaland,Male,1982-01-16,44,36-45,2020-09-28,Referral,2021-09-28,Standard,Annual,,,17.45,1095,49,0,2184.0,5.98,5-7 years,209.39999999999998,,,Medium Risk,,,,
9891-GBLDX,shiva,Nepal,Kathmandu,Male,2002-03-16,24,18-25,2019-08-18,Paid,2020-08-18,Premium,Annual,2023-06-06,No longer needed,22.49,1623,91,1,1388.0,3.8,3-5 years,269.88,2023.0,6.0,High Risk,,,,
5925-PSBFH,shiva,India,Uttar Pradesh,Male,1982-01-19,44,36-45,2022-12-19,Organic,2023-12-19,Basic,Monthly,,,7.44,262,55,0,1372.0,3.76,3-5 years,89.28,,,Medium Risk,2.0,1.0,37.5,2025-04-21
5977-EJRSR,arjun,India,Rajasthan,Male,1997-09-16,29,26-35,2020-11-10,Organic,2021-11-10,Standard,Monthly,,,14.94,895,4,0,2141.0,5.86,5-7 years,179.28,,,Low Risk,,,,
7573-JZQOR,madan,India,Uttar Pradesh,Male,2001-02-10,25,18-25,2022-01-17,Organic,2023-01-17,Standard,Monthly,,,15.48,640,15,0,1708.0,4.68,3-5 years,185.76,,,Low Risk,1.0,1.0,20.0,2025-10-15
4386-BXOSF,padma,India,Punjab,Female,1985-08-01,41,36-45,2024-11-20,Paid,2025-11-20,Basic,Monthly,,,7.33,60,3,0,670.0,1.83,1-3 years,87.96000000000001,,,Low Risk,,,,
4040-TOTLP,alok,India,Uttar Pradesh,Female,1987-11-10,39,36-45,2024-05-30,Referral,2025-05-30,Premium,Annual,,,21.76,307,51,0,844.0,2.31,1-3 years,261.12,,,Medium Risk,,,,
0771-WDERP,radha,India,Punjab,Male,1985-12-30,41,36-45,2022-09-02,Paid,2023-09-02,Basic,Monthly,,,9.61,352,47,0,1480.0,4.05,3-5 years,115.32,,,Medium Risk,,,,
9064-WASRN,kiran,India,Gujarat,Male,1978-03-02,48,46-55,2024-11-09,Organic,2025-11-09,Basic,Monthly,,,7.92,67,23,0,681.0,1.86,1-3 years,95.03999999999999,,,Low Risk,2.0,1.0,54.0,2025-05-30
7433-ASSZT,vinod,India,Nagaland,Female,1978-05-22,48,46-55,2024-03-27,Referral,2025-03-27,Premium,Annual,,,21.51,337,59,0,908.0,2.49,1-3 years,258.12,,,Medium Risk,,,,
8317-PDTOU,keshav,India,Gujarat,Female,1965-11-16,61,56-65,2021-05-09,Paid,2022-05-09,Basic,Annual,,,7.57,361,9,0,1961.0,5.37,5-7 years,90.84,,,Low Risk,1.0,1.0,11.0,2025-09-02
5038-GGOCT,maya,Nepal,Kathmandu,Female,1970-10-05,56,56-65,2022-01-21,Paid,2023-01-21,Basic,Monthly,2024-02-07,Forgot to cancel trial,7.81,332,87,1,747.0,2.05,1-3 years,93.72,2024.0,2.0,High Risk,,,,
9007-ENPZY,vikram,India,West Bengal,Female,1995-02-17,31,26-35,2022-07-28,Paid,2023-07-28,Basic,Annual,2024-07-20,Forgot to cancel trial,9.82,322,89,1,723.0,1.98,1-3 years,117.84,2024.0,7.0,High Risk,,,,
7177-XLGBA,amit,Nepal,Kathmandu,Female,1965-04-28,61,56-65,2023-12-23,Referral,2024-12-23,Basic,Monthly,2024-07-23,Billing issue,7.08,126,82,1,213.0,0.58,0-1 years,84.96000000000001,2024.0,7.0,High Risk,,,,
3750-BAINH,satish,India,Telangana,Male,1970-12-08,56,56-65,2024-01-01,Organic,2025-01-01,Standard,Monthly,,,14.55,285,7,0,994.0,2.72,1-3 years,174.60000000000002,,,Low Risk,,,,
9355-OGMKC,ritu,India,Kerala,Female,1983-06-11,43,36-45,2024-03-22,Referral,2025-03-22,Standard,Annual,,,13.45,205,47,0,913.0,2.5,1-3 years,161.39999999999998,,,Medium Risk,,,,
0887-RZCKI,raju,India,Uttar Pradesh,Female,1973-07-14,53,46-55,2024-03-21,Paid,2025-03-21,Standard,Monthly,,,17.73,255,13,0,914.0,2.5,1-3 years,212.76,,,Low Risk,,,,
2296-KHGYL,chitra,India,Karnataka,Female,1989-04-01,37,36-45,2022-09-15,Referral,2023-09-15,Premium,Annual,,,25.4,741,24,0,1467.0,4.02,3-5 years,304.79999999999995,,,Low Risk,,,,
1528-YWEMF,kamala,India,Karnataka,Female,1982-01-01,44,36-45,2024-05-14,Paid,2025-05-14,Standard,Annual,,,13.84,194,27,0,860.0,2.35,1-3 years,166.07999999999998,,,Low Risk,,,,
4345-YUHSS,satish,India,Meghalaya,Female,1978-04-24,48,46-55,2020-03-14,Paid,2021-03-14,Basic,Annual,,,8.94,569,17,0,2382.0,6.52,5-7 years,107.28,,,Low Risk,,,,
0958-POTBP,vinod,India,Telangana,Female,1967-07-21,59,56-65,2021-09-25,Referral,2022-09-25,Standard,Annual,,,17.86,778,39,0,1822.0,4.99,3-5 years,214.32,,,Medium Risk,1.0,0.0,30.0,2024-06-22
1312-WBBWK,rajesh,Nepal,Kathmandu,Male,1966-10-14,60,56-65,2023-11-01,Paid,2024-11-01,Premium,Annual,2024-02-18,Billing issue,23.17,496,91,1,109.0,0.3,0-1 years,278.04,2024.0,2.0,High Risk,,,,
6868-ROIGR,ajay,India,Uttar Pradesh,Male,1982-10-03,44,36-45,2024-06-16,Paid,2025-06-16,Basic,Annual,,,8.78,97,21,0,827.0,2.26,1-3 years,105.35999999999999,,,Low Risk,,,,
7491-ITBLZ,chitra,India,Delhi,Male,1974-07-25,52,46-55,2023-07-21,Organic,2024-07-21,Basic,Annual,,,7.32,172,7,0,1158.0,3.17,3-5 years,87.84,,,Low Risk,,,,
2170-YWWJE,ramesh,India,Telangana,Male,1994-12-17,32,26-35,2021-06-10,Paid,2022-06-10,Premium,Monthly,,,25.43,1315,20,0,1929.0,5.28,5-7 years,305.15999999999997,,,Low Risk,,,,
4905-YCWGX,sudevi,India,Tamil Nadu,Male,1992-02-18,34,26-35,2023-05-17,Organic,2024-05-17,Standard,Monthly,,,15.23,437,52,0,1223.0,3.35,3-5 years,182.76,,,Medium Risk,,,,
5617-FQGMX,mina,India,Delhi,Female,1984-01-01,42,36-45,2022-06-01,Referral,2023-06-01,Premium,Annual,,,25.67,986,34,0,1573.0,4.31,3-5 years,308.04,,,Medium Risk,1.0,1.0,11.0,2024-04-11
0722-AUQGT,pankaj,Nepal,Kathmandu,Male,1970-01-07,56,56-65,2023-07-14,Organic,2024-07-14,Premium,Monthly,,,25.25,676,2,0,1165.0,3.19,3-5 years,303.0,,,Low Risk,,,,
8938-AJOLB,alok,India,Karnataka,Male,1974-06-04,52,46-55,2023-01-11,Paid,2024-01-11,Basic,Monthly,,,7.84,230,42,0,1349.0,3.69,3-5 years,94.08,,,Medium Risk,,,,
1684-JOWZT,priya,India,Rajasthan,Female,2004-07-16,22,18-25,2022-07-27,Paid,2023-07-27,Standard,Annual,2023-09-15,Forgot to cancel trial,15.02,488,74,1,415.0,1.14,1-3 years,180.24,2023.0,9.0,High Risk,,,,
2938-TIYUW,rajesh,India,Tamil Nadu,Female,2000-04-27,26,26-35,2023-04-25,Paid,2024-04-25,Premium,Annual,,,22.79,567,10,0,1245.0,3.41,3-5 years,273.48,,,Low Risk,,,,
6267-WWFVL,sunita,India,Uttar Pradesh,Female,1966-01-23,60,56-65,2020-07-04,Organic,2021-07-04,Basic,Monthly,,,8.94,605,10,0,2270.0,6.21,5-7 years,107.28,,,Low Risk,,,,
6528-IWZHQ,kamala,Nepal,Kathmandu,Male,1966-03-29,60,56-65,2019-12-13,Organic,2020-12-13,Basic,Annual,,,9.41,655,13,0,2474.0,6.77,5-7 years,112.92,,,Low Risk,1.0,0.0,49.0,2025-12-18
2925-PZAPI,ajay,India,Bihar,Male,1987-12-11,39,36-45,2024-02-05,Referral,2025-02-05,Standard,Annual,2024-03-09,Forgot to cancel trial,15.75,256,89,1,33.0,0.09,0-1 years,189.0,2024.0,3.0,High Risk,2.0,1.0,43.0,2025-12-21
4173-BLNUR,vikram,India,Kerala,Female,1968-02-21,58,56-65,2024-08-02,Referral,2025-08-02,Premium,Annual,,,22.17,276,4,0,780.0,2.14,1-3 years,266.04,,,Low Risk,2.0,2.0,18.5,2024-03-21
5409-QRDXN,yash,India,Gujarat,Female,1996-04-11,30,26-35,2019-06-05,Paid,2020-06-05,Standard,Monthly,,,16.51,1213,11,0,2665.0,7.3,7+ years,198.12,,,Low Risk,,,,
2085-ERJTE,ramesh,India,Punjab,Male,2002-05-26,24,18-25,2024-11-26,Referral,2025-11-26,Premium,Annual,,,25.91,187,41,0,664.0,1.82,1-3 years,310.92,,,Medium Risk,,,,
3443-LPRML,rahul,India,Telangana,Female,2000-08-09,26,26-35,2019-12-29,Organic,2020-12-29,Basic,Monthly,,,8.88,618,21,0,2458.0,6.73,5-7 years,106.56,,,Low Risk,2.0,2.0,33.5,2025-09-08
2780-RHRQC,priya,India,West Bengal,Female,2001-03-07,25,18-25,2019-08-05,Referral,2020-08-05,Premium,Monthly,,,23.67,1677,38,0,2604.0,7.13,7+ years,284.04,,,Medium Risk,,,,
0757-GMWBK,nisha,India,Punjab,Female,1982-12-05,44,36-45,2022-09-19,Organic,2023-09-19,Standard,Annual,,,17.79,541,40,0,1463.0,4.01,3-5 years,213.48,,,Medium Risk,,,,
0090-XWXUF,ashok,India,Odisha,Male,1990-01-02,36,36-45,2022-05-30,Organic,2023-05-30,Standard,Monthly,2024-02-16,No longer needed,15.81,589,71,1,627.0,1.72,1-3 years,189.72,2024.0,2.0,High Risk,1.0,0.0,61.0,2025-01-07
1988-LURZP,om,India,Telangana,Female,2002-04-05,24,18-25,2019-04-22,Organic,2020-04-22,Basic,Monthly,,,7.24,505,19,0,2709.0,7.42,7+ years,86.88,,,Low Risk,2.0,1.0,43.5,2025-03-05
7305-XTMGG,asha,India,Telangana,Female,1993-02-11,33,26-35,2021-11-18,Paid,2022-11-18,Basic,Monthly,,,7.32,345,25,0,1768.0,4.84,3-5 years,87.84,,,Low Risk,,,,
7206-CHHIO,raghvendra,India,Meghalaya,Female,1982-03-08,44,36-45,2020-12-19,Paid,2021-12-19,Basic,Annual,,,9.09,546,23,0,2102.0,5.75,5-7 years,109.08,,,Low Risk,,,,
3505-BKOKF,nandini,India,Punjab,Male,1996-03-14,30,26-35,2019-12-12,Referral,2020-12-12,Premium,Monthly,,,23.97,1742,26,0,2475.0,6.78,5-7 years,287.64,,,Low Risk,2.0,1.0,26.5,2025-08-03
7814-AJTWY,nandini,Nepal,Kathmandu,Female,1997-12-15,29,26-35,2021-09-01,Paid,2022-09-01,Standard,Monthly,,,16.62,792,5,0,1846.0,5.05,5-7 years,199.44,,,Low Risk,,,,
9883-XMHMK,kamala,India,Rajasthan,Female,2006-04-01,20,18-25,2021-12-18,Referral,2022-12-18,Premium,Monthly,,,21.57,899,49,0,1738.0,4.76,3-5 years,258.84000000000003,,,Medium Risk,,,,
0441-XPRCL,indira,India,Rajasthan,Male,1976-09-02,50,46-55,2024-12-21,Referral,2025-12-21,Basic,Annual,,,9.04,53,29,0,639.0,1.75,1-3 years,108.47999999999999,,,Low Risk,,,,
3467-LIWHY,nandini,India,Tamil Nadu,Male,1986-02-05,40,36-45,2019-02-18,Organic,2020-02-18,Basic,Annual,,,9.38,686,4,0,2772.0,7.59,7+ years,112.56,,,Low Risk,,,,
0853-ZJQUQ,mohan,India,Uttar Pradesh,Female,2002-08-24,24,18-25,2020-02-03,Paid,2021-02-03,Premium,Annual,,,24.18,1790,23,0,2422.0,6.63,5-7 years,290.15999999999997,,,Low Risk,2.0,2.0,34.0,2024-10-05
3908-DROFS,neha,India,Rajasthan,Male,1992-03-29,34,26-35,2022-01-12,Referral,2023-01-12,Basic,Annual,,,7.28,332,48,0,1713.0,4.69,3-5 years,87.36,,,Medium Risk,2.0,1.0,22.5,2025-03-15
1876-UEIPY,gopal,India,Punjab,Female,1973-11-24,53,46-55,2021-03-09,Organic,2022-03-09,Standard,Monthly,,,16.38,871,55,0,2022.0,5.54,5-7 years,196.56,,,Medium Risk,1.0,1.0,13.0,2025-05-31
1669-SHRUU,durga,India,Kerala,Male,1984-03-20,42,36-45,2019-10-06,Organic,2020-10-06,Basic,Monthly,2022-09-01,Too expensive,7.28,499,79,1,1061.0,2.9,1-3 years,87.36,2022.0,9.0,High Risk,1.0,0.0,24.0,2025-12-20
1129-NIWVC,alok,India,Odisha,Female,1971-11-12,55,46-55,2019-05-20,Paid,2020-05-20,Basic,Monthly,,,7.27,563,9,0,2681.0,7.34,7+ years,87.24,,,Low Risk,,,,
8548-ZHVNM,ritu,Nepal,Kathmandu,Male,1979-06-17,47,46-55,2019-12-20,Referral,2020-12-20,Premium,Monthly,2023-10-02,Switched to competitor,21.64,1541,84,1,1382.0,3.78,3-5 years,259.68,2023.0,10.0,High Risk,2.0,0.0,25.0,2025-11-29
1419-HLTOR,usha,India,Maharashtra,Female,2003-03-05,23,18-25,2024-02-01,Organic,2025-02-01,Premium,Annual,,,22.37,430,22,0,963.0,2.64,1-3 years,268.44,,,Low Risk,1.0,0.0,89.0,2024-10-05
7988-FUIWS,asha,Nepal,Kathmandu,Male,1988-03-05,38,36-45,2021-11-20,Referral,2022-11-20,Basic,Monthly,,,7.21,306,18,0,1766.0,4.84,3-5 years,86.52,,,Low Risk,,,,
1402-GKOGM,satish,India,Odisha,Male,1969-03-05,57,56-65,2021-12-20,Paid,2022-12-20,Basic,Monthly,,,7.2,299,8,0,1736.0,4.75,3-5 years,86.4,,,Low Risk,,,,
6625-RHPMN,pankaj,Nepal,Kathmandu,Male,1980-10-13,46,46-55,2020-08-12,Referral,2021-08-12,Standard,Monthly,2021-02-02,Forgot to cancel trial,15.15,958,72,1,174.0,0.48,0-1 years,181.8,2021.0,2.0,High Risk,2.0,2.0,27.5,2025-05-25
4438-HFSIT,kavita,India,Telangana,Female,1998-02-18,28,26-35,2021-10-23,Paid,2022-10-23,Premium,Annual,2024-01-30,Not enough content,21.08,989,71,1,829.0,2.27,1-3 years,252.95999999999998,2024.0,1.0,High Risk,,,,
9659-ZNHCF,amit,India,Kerala,Female,1978-07-24,48,46-55,2020-09-12,Paid,2021-09-12,Standard,Monthly,,,17.51,1086,32,0,2200.0,6.02,5-7 years,210.12,,,Medium Risk,,,,
2073-HZOSD,satish,India,Nagaland,Male,1990-10-02,36,36-45,2023-11-22,Paid,2024-11-22,Standard,Monthly,,,16.63,298,46,0,1034.0,2.83,1-3 years,199.56,,,Medium Risk,1.0,0.0,44.0,2025-06-03
7843-LEBYM,maya,India,Punjab,Female,1968-04-28,58,56-65,2024-05-28,Organic,2025-05-28,Basic,Annual,,,8.6,120,42,0,846.0,2.32,1-3 years,103.19999999999999,,,Medium Risk,,,,
0878-DVYCG,nandini,India,Uttar Pradesh,Male,1982-01-24,44,36-45,2020-01-07,Referral,2021-01-07,Standard,Annual,,,17.26,1269,20,0,2449.0,6.7,5-7 years,207.12,,,Low Risk,2.0,1.0,34.5,2025-04-14
7253-HPLOB,chitra,India,Telangana,Female,1974-06-20,52,46-55,2021-04-11,Organic,2022-04-11,Basic,Annual,,,7.11,331,59,0,1989.0,5.45,5-7 years,85.32000000000001,,,Medium Risk,,,,
1330-EEBAL,naresh,India,West Bengal,Male,1975-05-21,51,46-55,2020-03-13,Organic,2021-03-13,Standard,Monthly,2021-05-12,Switched to competitor,14.79,936,71,1,425.0,1.16,1-3 years,177.48,2021.0,5.0,High Risk,1.0,0.0,21.0,2025-01-07
4632-SLRYU,vikram,India,Bihar,Male,1989-06-06,37,36-45,2021-09-03,Referral,2022-09-03,Standard,Annual,,,13.3,625,30,0,1844.0,5.05,5-7 years,159.60000000000002,,,Low Risk,,,,
2441-XVBEH,vijay,India,Odisha,Male,1986-01-10,40,36-45,2019-03-09,Referral,2020-03-09,Basic,Monthly,,,7.16,487,44,0,2753.0,7.54,7+ years,85.92,,,Medium Risk,,,,
6594-YNMCB,ritu,India,Gujarat,Male,1976-03-26,50,46-55,2024-11-12,Organic,2025-11-12,Standard,Monthly,,,16.38,128,4,0,678.0,1.86,1-3 years,196.56,,,Low Risk,1.0,0.0,34.0,2025-01-15
9424-PATVO,deepak,India,Delhi,Male,1994-03-24,32,26-35,2020-08-02,Paid,2021-08-02,Standard,Monthly,2024-03-19,Switched to competitor,13.09,829,75,1,1325.0,3.63,3-5 years,157.07999999999998,2024.0,3.0,High Risk,1.0,1.0,9.0,2024-01-11
4557-EPQMC,dinesh,India,Bihar,Male,1979-05-28,47,46-55,2022-06-12,Paid,2023-06-12,Premium,Monthly,,,21.48,693,9,0,1562.0,4.28,3-5 years,257.76,,,Low Risk,2.0,1.0,28.5,2025-10-30
2634-ISHYV,mira,India,Odisha,Male,1979-02-10,47,46-55,2024-07-29,Paid,2025-07-29,Standard,Monthly,,,16.07,175,49,0,784.0,2.15,1-3 years,192.84,,,Medium Risk,1.0,1.0,35.0,2025-11-09
1899-ZKNZR,indira,India,Bihar,Male,1973-06-01,53,46-55,2023-07-05,Organic,2024-07-05,Basic,Monthly,,,9.92,264,50,0,1174.0,3.21,3-5 years,119.03999999999999,,,Medium Risk,1.0,0.0,24.0,2024-09-10
8167-QTFOY,om,India,Delhi,Male,1966-04-18,60,56-65,2019-07-06,Organic,2020-07-06,Standard,Monthly,,,14.67,953,46,0,2634.0,7.21,7+ years,176.04,,,Medium Risk,1.0,1.0,12.0,2024-07-01
9975-USIAK,sneha,India,Nagaland,Female,1970-04-09,56,56-65,2023-02-24,Paid,2024-02-24,Standard,Monthly,,,15.18,381,41,0,1305.0,3.57,3-5 years,182.16,,,Medium Risk,1.0,1.0,25.0,2024-05-02
2522-MSNHV,naresh,India,Uttar Pradesh,Female,1989-09-23,37,36-45,2023-03-21,Referral,2024-03-21,Premium,Annual,2025-04-12,Billing issue,21.07,497,72,1,753.0,2.06,1-3 years,252.84,2025.0,4.0,High Risk,1.0,0.0,45.0,2025-03-01
9820-NWWHU,nandini,India,Gujarat,Male,1976-12-26,50,46-55,2022-03-08,Organic,2023-03-08,Standard,Annual,2025-03-13,Poor streaming quality,17.03,609,78,1,1101.0,3.01,3-5 years,204.36,2025.0,3.0,High Risk,,,,
4634-SVPRW,bhavna,Nepal,Kathmandu,Female,1980-06-25,46,46-55,2023-08-15,Paid,2024-08-15,Basic,Monthly,,,7.51,155,7,0,1133.0,3.1,3-5 years,90.12,,,Low Risk,1.0,1.0,39.0,2024-06-30
8903-JYWZG,radha,India,Uttar Pradesh,Female,1966-12-17,60,56-65,2022-05-18,Paid,2023-05-18,Basic,Monthly,,,7.0,235,8,0,1587.0,4.34,3-5 years,84.0,,,Low Risk,,,,
7749-SVKRV,sudevi,India,Delhi,Male,1970-08-31,56,56-65,2023-01-22,Referral,2024-01-22,Premium,Monthly,,,25.92,831,19,0,1338.0,3.66,3-5 years,311.04,,,Low Risk,,,,
9669-ICVCX,raghav,India,Meghalaya,Female,2004-01-26,22,18-25,2019-08-06,Referral,2020-08-06,Basic,Annual,,,9.38,608,4,0,2603.0,7.13,7+ years,112.56,,,Low Risk,,,,
2529-BUGQK,shiva,India,Gujarat,Female,2003-07-20,23,18-25,2019-08-10,Organic,2020-08-10,Standard,Annual,,,14.42,982,50,0,2599.0,7.12,7+ years,173.04,,,Medium Risk,1.0,1.0,28.0,2024-07-14
5188-QXMOQ,priya,India,West Bengal,Female,1998-07-02,28,26-35,2024-01-31,Paid,2025-01-31,Basic,Monthly,,,9.21,171,9,0,964.0,2.64,1-3 years,110.52000000000001,,,Low Risk,,,,
1646-LSXBU,meena,India,Kerala,Male,1984-04-27,42,36-45,2019-10-18,Referral,2020-10-18,Premium,Annual,,,24.6,1552,22,0,2530.0,6.93,5-7 years,295.20000000000005,,,Low Risk,,,,
6751-OUECW,priya,India,Delhi,Male,1971-06-03,55,46-55,2021-07-31,Paid,2022-07-31,Premium,Monthly,,,22.62,1155,26,0,1878.0,5.14,5-7 years,271.44,,,Low Risk,2.0,0.0,58.0,2025-06-07
4161-LRXMH,anita,India,Delhi,Female,1980-07-02,46,46-55,2021-06-22,Referral,2022-06-22,Basic,Monthly,,,8.75,382,31,0,1917.0,5.25,5-7 years,105.0,,,Medium Risk,,,,
4901-QLGVF,radha,India,Delhi,Male,1975-08-23,51,46-55,2020-12-30,Organic,2021-12-30,Standard,Monthly,2021-10-16,Switched to competitor,13.67,716,80,1,290.0,0.79,0-1 years,164.04,2021.0,10.0,High Risk,,,,
5881-OZHZR,asha,India,Maharashtra,Male,2003-10-22,23,18-25,2019-09-02,Referral,2020-09-02,Basic,Annual,,,7.32,506,16,0,2576.0,7.05,7+ years,87.84,,,Low Risk,,,,
0803-XTVXU,amit,India,Kerala,Female,1993-07-23,33,26-35,2022-04-23,Paid,2023-04-23,Standard,Monthly,,,16.94,749,7,0,1612.0,4.41,3-5 years,203.28000000000003,,,Low Risk,1.0,1.0,29.0,2025-06-29
2240-QXQIL,alok,India,Meghalaya,Male,2005-10-21,21,18-25,2023-08-14,Paid,2024-08-14,Premium,Monthly,,,23.44,531,2,0,1134.0,3.1,3-5 years,281.28000000000003,,,Low Risk,1.0,1.0,40.0,2025-02-13
6807-EDOZN,kiran,India,Rajasthan,Male,2006-01-01,20,18-25,2023-10-20,Referral,2024-10-20,Standard,Annual,,,14.22,300,39,0,1067.0,2.92,1-3 years,170.64000000000001,,,Medium Risk,1.0,1.0,8.0,2025-01-12
7894-ZHWUM,arjun,India,Meghalaya,Female,2003-08-02,23,18-25,2020-09-02,Referral,2021-09-02,Premium,Annual,,,25.48,1290,51,0,2210.0,6.05,5-7 years,305.76,,,Medium Risk,1.0,0.0,24.0,2025-06-14
